特价,原价,药名,厂家,规格,效期
券后约 ￥21.74,￥22.88,护肝片,黑龙江葵花药业股份有限公司,规格：0.35g*100片(糖衣),效期：2023-03-31
券后约 ￥3.16,￥3.33,通宣理肺片,云南云河药业股份有限公司,规格：0.3g*12片*3板(薄膜衣),效期：2022-04-30
券后约 ￥3.64,￥3.83,牛黄上清丸,吉林省正辉煌药业有限公司,规格：6g*10丸（大蜜丸）,效期：2022-06-30
券后约 ￥6.98,￥7.35,脑络通胶囊,四川泰华堂制药有限公司,规格：0.5g*30粒,效期：2022-06-30
券后约 ￥5.33,￥5.61,伤痛宁胶囊,黑龙江省济仁药业有限公司,规格：0.3g*12粒*3板,效期：2023-09-30
券后约 ￥5.04,￥5.31,复方锌布颗粒,山西新宝源制药有限公司,规格：12包,效期：2023-02-28
券后约 ￥9.89,￥10.41,舒筋丸,保宁中药制药股份有限公司,规格：3g*3丸*4板,效期：2023-03-31
券后约 ￥6.32,￥6.65,氢溴酸右美沙芬分散片,石药集团欧意药业有限公司,规格：15mg*12片*2板,效期：2022-04-01
券后约 ￥3.54,￥3.73,复合维生素B片,山西太原药业有限公司,规格：100片,效期：2022-07-06
券后约 ￥3.08,￥3.24,复方鱼腥草片,广东省惠州市中药厂有限公司,规格：12片*3板(糖衣),效期：2022-03-31
券后约 ￥5.80,￥6.11,双黄连胶囊,广东省惠州市中药厂有限公司,规格：0.4g*24粒,效期：2022-01-31
券后约 ￥13.27,￥13.97,益气养血口服液,吉林玉仁制药股份有限公司,规格：15ml*12支,效期：2023-02-22
券后约 ￥6.91,￥7.27,盐酸氨溴索注射液,峨眉山通惠制药有限公司,规格：2ml：15mg*10支,效期：2023-04-15
券后约 ￥3.25,￥3.42,头孢克肟咀嚼片,浙江巨泰药业有限公司,规格：50mg*6片,效期：2022-01-31
券后约 ￥2.14,￥2.25,清咽片,吉林省银诺克药业有限公司,规格：12片*2板(糖衣)                                              ,效期：2023-04-16
券后约 ￥3.59,￥3.78,阿昔洛韦片,四川科伦药业股份有限公司,规格：0.2g*24片,效期：2022-09-01
,￥您没有经营第二类医疗器械类商品资质！,一次性使用医用口罩,四川蓉康世圣药业有限责任公司新都分公司/川药械应急生产许20200019号,规格：175mm*95mm（1个/袋）                                        ,效期：2022-08-23
券后约 ￥11.01,￥11.59,十滴水,四川天府康达药业集团府庆制药有限公司,规格：500ml(30瓶/件),效期：2022-05-31
券后约 ￥5.60,￥5.89,夏桑菊颗粒,四川逢春制药有限公司,规格：10g*20袋(直立袋),效期：2022-03-31
券后约 ￥2.53,￥2.66,金银花甘露,湖北大别山药业股份有限公司(原湖北大别山药业有限),规格：340ml,效期：2021-12-01
券后约 ￥3.80,￥4.00,二甲双胍格列本脲片(1),海南凯健制药有限公司,规格：12片*2板,效期：2022-05-31
券后约 ￥6.39,￥6.73,感冒解毒颗粒,黑龙江省中医研究院制药厂,规格：5g*12袋,效期：2023-03-31
券后约 ￥3.61,￥3.80,盐酸左西替利嗪片,北京天衡药物研究院南阳天衡制药厂,规格：5mg*6片,效期：2022-05-31
券后约 ￥7.22,￥7.60,小儿肺咳颗粒,天圣制药集团股份有限公司,规格：3g*6袋,效期：2022-03-31
券后约 ￥4.17,￥4.39,头孢呋辛酯片,国药集团致君(深圳)制药有限公司,规格：0.25g*6片(薄膜衣),效期：2023-05-31
券后约 ￥2.62,￥2.76,喉痛灵片,广东省惠州市中药厂有限公司,规格：50片(糖衣),效期：2022-02-28
券后约 ￥121.06,￥127.43,噻托溴铵粉吸入剂,Boehringer Ingelheim Pharma GmbH ﹠ Co.KG,规格：18ug*10粒,效期：2022-02-28
券后约 ￥6.77,￥7.13,橘红痰咳颗粒,黑龙江省济仁药业有限公司,规格：10g*11袋,效期：2023-04-30
券后约 ￥7.13,￥7.51,复方感冒灵颗粒,广西宝瑞坦制药有限公司,规格：14g*9袋,效期：2022-07-31
券后约 ￥4.00,￥4.21,芩黄喉症胶囊,辽宁兴海制药有限公司,规格：0.4g*9粒*2板,效期：2022-11-30
券后约 ￥13.33,￥14.03,羟苯磺酸钙分散片,江苏万高药业股份有限公司,规格：0.25g*24片,效期：2021-08-31
券后约 ￥6.20,￥6.53,格列齐特片(Ⅱ),山东鲁抗医药集团赛特有限责任公司,规格：80mg*30片*2板,效期：2022-10-08
券后约 ￥8.12,￥8.55,羚贝止咳糖浆,吉林金宝药业股份有限公司（原吉林省东丰药业股份有限公司）,规格：100ml,效期：2023-03-31
券后约 ￥4.02,￥4.23,鞣酸蛋白酵母散,金花企业(集团)股份有限公司西安金花制药厂,规格：15包,效期：2022-04-30
券后约 ￥5.42,￥5.70,抗病毒口服液,安徽东盛友邦制药有限公司,规格：10ml*10支,效期：2022-01-31
券后约 ￥3.43,￥3.61,消咳喘胶囊,吉林春柏药业股份有限公司,规格：0.35g*10粒*2板,效期：2021-12-31
券后约 ￥3.31,￥3.48,盐酸西替利嗪片,成都恒瑞制药有限公司,规格：10mg*8片,效期：2022-08-26
券后约 ￥2.69,￥2.83,磷酸苯丙哌林胶囊,天津金虹胜利药业有限公司,规格：24粒,效期：2023-02-28
券后约 ￥5.33,￥5.61,消炎利胆片,广东一力集团制药股份有限公司,规格：0.24g*100片(薄膜衣),效期：2022-03-31
券后约 ￥16.15,￥17.00,坤宝丸,北京同仁堂股份有限公司同仁堂制药厂,规格：50丸*10袋(每100粒重10g),效期：2024-05-31
券后约 ￥5.93,￥6.24,双氯芬酸钾胶囊,辽宁天龙药业有限公司,规格：25mg*12粒*3板,效期：2023-05-31
券后约 ￥3.16,￥3.33,伤痛宁膏,湖北康源药业有限公司,规格：7cm*10cm*6贴,效期：2023-06-30
券后约 ￥5.87,￥6.18,复方杏香兔耳风片,湖北广仁药业有限公司,规格：0.5g*24片,效期：2022-06-30
券后约 ￥5.15,￥5.42,盐酸头孢他美酯片,华东医药(西安)博华制药有限公司,规格：0.25g*8片,效期：
券后约 ￥2.49,￥2.62,黄柏胶囊,广东省惠州市中药厂有限公司,规格：36粒,效期：2022-08-31
券后约 ￥10.64,￥11.20,大黄碳酸氢钠片,郑州天宁药业有限公司,规格：1000片                                                      ,效期：2023-06-30
券后约 ￥12.48,￥13.14,愈美颗粒,南京臣功制药股份有限公司,规格：12袋,效期：2022-10-31
券后约 ￥6.41,￥6.75,苄达赖氨酸滴眼液,安徽省双科药业有限公司,规格：5ml/支/盒（8ml:40mg）,效期：2022-08-19
券后约 ￥4.69,￥4.94,安胃止痛胶囊,江西金世康药业有限公司,规格：0.3g*10粒*5板,效期：2022-04-30
券后约 ￥5.35,￥5.63,复方银翘氨敏胶囊,江西新赣江药业股份有限公司,规格：0.3g*12粒*2板,效期：2021-12-31
券后约 ￥2.80,￥2.95,重感灵片,广东和平药业有限公司,规格：60片(糖衣),效期：2022-09-19
券后约 ￥5.04,￥5.31,养阴镇静片,吉林亚泰永安堂药业有限公司,规格：0.3g*15片*2板(糖衣),效期：2023-05-16
券后约 ￥10.38,￥10.93,至灵胶囊,大同市利群药业有限责任公司,规格：0.25g*12粒*3板,效期：2023-04-30
券后约 ￥2.48,￥2.61,复方感冒灵片,广东省惠州市中药厂有限公司,规格：12片*3板(糖衣),效期：2022-06-30
券后约 ￥6.32,￥6.65,川贝罗汉止咳颗粒,广西麦克健丰制药有限公司,规格：10g*8袋,效期：2021-11-30
券后约 ￥4.99,￥5.25,苯巴比妥东莨菪碱片,广州白云山光华制药股份有限公司,规格：12片,效期：2022-01-31
券后约 ￥5.87,￥6.18,百癣夏塔热片,黑龙江省济仁药业有限公司,规格：0.31g*9片*5板(薄膜衣),效期：2023-05-31
券后约 ￥8.38,￥8.82,左炔诺孕酮片,东北制药集团沈阳第一制药有限公司,规格：1.5mg*1片,效期：2024-12-31
券后约 ￥4.15,￥4.37,化痔灵片,吉林省天泰药业股份有限公司,规格：18片*3板(糖衣),效期：2023-06-30
券后约 ￥6.70,￥7.05,蒲地蓝消炎片,广东心宝药业科技有限公司,规格：0.6g*12片*4板(薄膜衣),效期：2022-09-30
券后约 ￥12.45,￥13.11,硫酸沙丁胺醇吸入气雾剂,扬州市三药制药有限公司,规格：0.1mg*200揿,效期：2022-07-31
券后约 ￥1.88,￥1.98,阿奇霉素颗粒,广东逸舒制药股份有限公司,规格：0.1g*6袋,效期：2022-01-12
券后约 ￥1.75,￥1.84,鲜竹沥,四川省通园制药集团有限公司,规格：100ml(塑瓶)(简装),效期：2023-02-28
券后约 ￥3.61,￥3.80,千柏鼻炎片,广东省惠州市中药厂有限公司,规格：12片*3板(糖衣),效期：2022-06-30
券后约 ￥2.82,￥2.97,维U颠茄铝镁片II,云鹏医药集团有限公司(原山西云鹏制药有限公司),规格：48片,效期：2021-12-28
券后约 ￥5.51,￥5.80,复方芦荟片,四川奇力制药有限公司,规格：0.29g*12片*2板,效期：2022-07-31
券后约 ￥3.25,￥3.42,红药片,景忠山国药(唐山)有限公司,规格：0.25g*36片(糖衣),效期：2023-05-31
券后约 ￥6.86,￥7.22,通脉颗粒,河南兴源制药有限公司,规格：5g*10袋(无糖型),效期：2022-06-30
券后约 ￥7.68,￥8.08,半夏露颗粒,山东凤凰制药股份有限公司,规格：14g*10袋,效期：2022-03-31
券后约 ￥6.23,￥6.56,生脉饮（党参方）,湖北太子药业有限公司,规格：10ml*14支,效期：2022-08-31
券后约 ￥13.30,￥14.00,苯磺酸左氨氯地平片(曾用名苯磺酸左旋氨氯地平片),江西施美药业股份有限公司,规格：2.5mg*14片*2板,效期：2022-05-31
券后约 ￥7.22,￥7.60,气血双补丸,承德御室金丹药业有限公司,规格：9g*5袋,效期：2023-04-29
券后约 ￥2.14,￥2.25,精制银翘解毒片,湖北香连药业有限责任公司,规格：24片(糖衣),效期：2022-07-31
券后约 ￥27.55,￥29.00,葡萄糖酸钙注射液,四川美大康华康药业有限公司,规格：10ml:1g*5支,效期：
券后约 ￥4.27,￥4.50,安胃止痛胶囊,江西金世康药业有限公司,规格：0.3g*10粒*4板,效期：2022-05-31
券后约 ￥4.97,￥5.23,替米沙坦胶囊,山东益健药业有限公司,规格：40mg*7粒*3板                                                ,效期：2022-09-30
券后约 ￥6.93,￥7.30,妥布霉素地塞米松滴眼液,江西珍视明药业有限公司,规格：5ml,效期：2022-06-30
券后约 ￥7.89,￥8.31,硝苯地平缓释片(Ⅰ),亚宝药业集团股份有限公司委托北京亚宝生物药业有限公司生产,规格：10mg*50片,效期：2022-05-31
券后约 ￥6.82,￥7.18,心安宁片,莎普爱思强身药业有限公司,规格：12片*3板(糖衣),效期：2023-08-03
券后约 ￥29.31,￥30.85,复方消化酶胶囊(Ⅱ),常州千红生化制药股份有限公司,规格：20粒,效期：2022-02-10
券后约 ￥4.97,￥5.23,甲硝唑氯己定洗剂,广东佳泰药业股份有限公司,规格：200ml,效期：2022-06-30
券后约 ￥3.79,￥3.99,肺宁胶囊,吉林真元制药有限公司,规格：0.35g*12粒*2板,效期：2022-03-31
券后约 ￥12.82,￥13.50,蛇胆川贝枇杷膏,广州白云山潘高寿药业股份有限公司,规格：138g,效期：2021-10-31
券后约 ￥3.89,￥4.09,复方金银花颗粒,哈尔滨大洋制药股份有限公司,规格：10g*6袋,效期：2023-02-05
券后约 ￥4.51,￥4.75,妇炎康片,湖南湘泉药业股份有限公司,规格：0.25g*100片(糖衣),效期：2022-03-31
券后约 ￥20.63,￥21.72,布洛芬缓释胶囊,中美天津史克制药有限公司,规格：0.3g*12粒*2板,效期：2022-10-31
券后约 ￥5.68,￥5.98,维生素E软胶囊,国药控股星鲨制药(厦门)有限公司,规格：100mg*60粒,效期：2023-06-30
券后约 ￥1.90,￥2.00,复方贝母片,长春人民药业集团有限公司,规格：10片*2板(糖衣),效期：2022-12-31
券后约 ￥7.84,￥8.25,消咳喘胶囊,成都永康制药有限公司,规格：0.35g*36粒,效期：2022-01-31
券后约 ￥6.77,￥7.13,天麻头风灵片,河南金华隆制药有限公司,规格：0.38g*12片*3板,效期：2022-07-31
券后约 ￥1.18,￥1.24,盐酸左氧氟沙星片,四川科伦药业股份有限公司,规格：0.1g*12片,效期：2022-05-14
券后约 ￥4.40,￥4.63,独一味软胶囊,江西欧氏药业有限责任公司,规格：0.5g*24粒,效期：2022-08-31
券后约 ￥3.61,￥3.80,萘敏维滴眼液,邯郸康业制药有限公司,规格：10ml,效期：2022-08-02
券后约 ￥4.53,￥4.77,白凡士林,河南华凯生物科技有限公司,规格：400g,效期：2023-08-31
券后约 ￥2.26,￥2.38,布洛芬片,濮阳市汇元药业有限公司,规格：0.1g*100片(糖衣),效期：2022-02-28
券后约 ￥11.61,￥12.22,复方利血平氨苯蝶啶片,华润双鹤药业股份有限公司,规格：10片,效期：2022-07-06
券后约 ￥4.51,￥4.75,银黄含化滴丸,贵州金宇药业有限公司,规格：50mg*100丸,效期：2022-10-31
券后约 ￥3.79,￥3.99,龙胆泻肝片,保定中药制药股份有限公司,规格：12片*3板(糖衣),效期：2023-02-28
券后约 ￥3.41,￥3.59,头孢克洛胶囊,苏州第三制药厂有限责任公司,规格：0.25g*6粒,效期：2022-09-20
券后约 ￥7.94,￥8.36,跳骨片,福州屏山制药有限公司,规格：0.3g*18片*2板,效期：2022-07-31
券后约 ￥3.26,￥3.43,重感灵片,广东嘉应制药股份有限公司,规格：48片(糖衣),效期：2023-08-31
券后约 ￥2.98,￥3.14,氯霉素滴眼液,邯郸康业制药有限公司,规格：8ml:20mg,效期：2021-08-16
券后约 ￥3.16,￥3.33,口腔溃疡散,贵州瑞和制药有限公司,规格：3g,效期：2023-07-16
券后约 ￥6.59,￥6.94,藿香正气合剂,恩威(江西)制药有限公司委托四川恩威制药有限公司生产,规格：10ml*12支,效期：2022-05-31
券后约 ￥1.80,￥1.90,复方穿心莲片,河南兴源制药有限公司,规格：24片*2板(糖衣),效期：2022-05-31
券后约 ￥9.39,￥9.88,蒲地蓝消炎片,哈尔滨市龙生北药生物工程股份有限公司,规格：0.6g*12片*6板(薄膜衣),效期：2023-08-31
券后约 ￥20.81,￥21.91,非洛地平缓释片,阿斯利康制药有限公司,规格：2.5mg*10片(件装480),效期：2023-04-30
券后约 ￥3.16,￥3.33,复方银翘氨敏胶囊,江西新赣江药业股份有限公司,规格：12粒,效期：2022-01-31
券后约 ￥6.23,￥6.56,风寒感冒颗粒,吉林龙泰制药股份有限公司,规格：8g*11袋,效期：2023-02-28
券后约 ￥7.22,￥7.60,护肝片,广东省惠州市中药厂有限公司,规格：0.35g*100片(糖衣),效期：2022-08-31
券后约 ￥4.79,￥5.04,香砂养胃丸(浓缩丸),河南省济源市济世药业有限公司,规格：200丸(每8丸相当于饮片3g),效期：2025-04-17
券后约 ￥3.87,￥4.07,感冒清热颗粒,四川同人泰药业股份有限公司,规格：12g*9袋,效期：2023-08-31
券后约 ￥1.76,￥1.85,喉舒宁片,广东省罗浮山白鹤制药厂,规格：24片,效期：2022-10-31
券后约 ￥8.98,￥9.45,马来酸依那普利片,上海新亚药业闵行有限公司,规格：10mg*32片(400盒/件)                                         ,效期：2022-04-12
券后约 ￥6.41,￥6.75,肚痛丸,国药集团中联药业有限公司,规格：30g（每20粒重1g）,效期：2023-04-30
券后约 ￥8.47,￥8.92,妇良胶囊,江西银涛药业有限公司,规格：0.5g*12粒*3板,效期：2021-10-31
券后约 ￥7.84,￥8.25,复方铝酸铋片,哈尔滨凯程制药有限公司,规格：10片*5板,效期：2023-02-28
券后约 ￥1.72,￥1.81,甲硝唑片,湖北美宝药业股份有限公司,规格：0.2g*12片*2板,效期：2022-06-30
券后约 ￥10.67,￥11.23,格列齐特缓释片,江西制药有限责任公司,规格：30mg*15片*4板,效期：2022-07-31
券后约 ￥19.76,￥20.80,松龄血脉康胶囊,四川济生堂药业有限公司/成都康弘制药有限公司,规格：0.5g*30粒,效期：2022-05-31
券后约 ￥1.85,￥1.95,复方氨酚烷胺片,吉林玉仁制药股份有限公司,规格：12片,效期：2023-03-01
券后约 ￥9.97,￥10.50,血塞通片,云南特安呐制药股份有限公司,规格：50mg(片重0.075g)*20片(薄膜衣),效期：2023-05-31
券后约 ￥2.56,￥2.70,脑心舒口服液,湖北同德堂药业有限公司,规格：10ml*10支,效期：2022-07-31
券后约 ￥1.57,￥1.65,晕车贴,江西水滴药业有限公司,规格：2.5cm*4贴,效期：2021-09-01
券后约 ￥11.18,￥11.77,六味地黄丸,北京同仁堂科技发展股份有限公司制药厂,规格：360粒(每100粒重20克,效期：2023-08-31
券后约 ￥7.94,￥8.36,清热解毒口服液,广州诺金制药有限公司,规格：10ml*12支,效期：2022-03-31
券后约 ￥1.39,￥1.46,注射用穿琥宁,成都天台山制药有限公司,规格：200mg,效期：2022-09-13
券后约 ￥15.67,￥16.50,盐酸倍他司汀口服液,黑龙江中桂制药有限公司,规格：10ml:20mg*15支,效期：2022-06-10
券后约 ￥4.79,￥5.04,田七痛经胶囊,广州诺金制药有限公司,规格：0.4g*24粒,效期：2022-08-31
券后约 ￥7.26,￥7.64,银翘解毒颗粒,四川泰华堂制药有限公司,规格：15g*10袋,效期：2022-03-31
券后约 ￥2.23,￥2.35,保儿安颗粒,广东省惠州市中药厂有限公司,规格：10g*6袋,效期：2022-07-31
券后约 ￥3.52,￥3.71,妇科止血灵,长春万德制药有限公司,规格：12片*2板,效期：2023-03-31
券后约 ￥57.96,￥61.01,格列喹酮片,北京万辉双鹤药业有限责任公司,规格：30mg*60片,效期：2025-04-30
券后约 ￥18.43,￥19.40,冠心丹参滴丸,哈尔滨业锐药业有限公司(原中发实业集团业锐药业有限公司),规格：0.04g*10粒*15袋,效期：2023-04-30
券后约 ￥6.51,￥6.85,橘红颗粒,恒拓集团南宁仁盛制药有限公司,规格：11g*10袋,效期：2022-03-31
券后约 ￥5.43,￥5.72,盐酸克林霉素注射液,四川美大康华康药业有限公司,规格：2ml:0.15g*10支,效期：2022-05-13
券后约 ￥6.73,￥7.08,转移因子口服溶液,大连百利天华制药有限公司,规格：10ml*6支,效期：2022-08-31
券后约 ￥8.12,￥8.55,口腔炎喷雾剂,黑龙江天龙药业有限公司,规格：20ml,效期：2023-06-30
券后约 ￥6.65,￥7.00,肺气肿片,广东万方制药有限公司,规格：0.3g*18片*3板,效期：2022-07-31
券后约 ￥3.64,￥3.83,通宣理肺丸,山西华康药业股份有限公司,规格：7g*6袋(每100丸重10g(水蜜丸),效期：2023-04-30
券后约 ￥3.35,￥3.53,利巴韦林片,四川美大康药业股份有限公司,规格：100mg*20片,效期：2021-12-31
券后约 ￥0.81,￥0.85,注射用氨苄西林钠,华北制药股份有限公司,规格：1g(冻干粉针),效期：2022-08-31
券后约 ￥8.07,￥8.50,双黄连口服液,南阳市新生制药有限公司,规格：10ml*10支,效期：2022-08-31
券后约 ￥1.04,￥1.09,维生素C片,成都第一制药有限公司(原成都第一药业有限公司),规格：0.1g*100片,效期：2021-12-31
券后约 ￥1.18,￥1.24,注射用炎琥宁,辅仁药业集团有限公司,规格：80mg,效期：2021-12-31
券后约 ￥8.44,￥8.88,降酶灵胶囊,江西银涛药业有限公司,规格：12粒*3板,效期：
券后约 ￥1.23,￥1.29,精制银翘解毒片,吉林省华侨药业集团有限公司,规格：18片(糖衣),效期：2023-05-31
券后约 ￥1.42,￥1.49,注射用炎琥宁,哈尔滨珍宝制药有限公司,规格：200mg,效期：2022-02-28
券后约 ￥2.08,￥2.19,盐酸左西替利嗪片,浙江永宁药业股份有限公司,规格：5mg*7片,效期：2022-07-31
券后约 ￥1.53,￥1.61,柴胡注射液,河南福森药业有限公司,规格：2ml*10支,效期：2022-09-09
券后约 ￥3.42,￥3.60,对乙酰氨基酚片,辽源市百康药业有限责任公司,规格：0.5g*100片,效期：2023-03-31
券后约 ￥1.58,￥1.66,复方穿心莲片,云南省曲靖药业有限公司,规格：100片(糖衣),效期：2023-06-30
券后约 ￥1.58,￥1.66,脑立清丸,河北万岁药业有限公司,规格：100丸,效期：2023-07-31
券后约 ￥7.68,￥8.08,罗红霉素软胶囊,浙江维康药业股份有限公司,规格：0.15g*12粒,效期：2021-11-30
券后约 ￥1.53,￥1.61,维生素B1注射液,华中药业股份有限公司,规格：2ml:0.1g*10支,效期：2022-08-31
券后约 ￥2.02,￥2.13,奥美拉唑肠溶片,辰欣药业股份有限公司,规格：20mg*14片,效期：2022-05-03
券后约 ￥1.48,￥1.56,清火片,江西省芙蓉堂药业股份有限公司(原江西省芙蓉药业有限公司),规格：0.19g*20片*2板(糖衣),效期：2022-08-31
券后约 ￥2.85,￥3.00,银黄颗粒,四川省仁德制药有限公司,规格：4g*10袋,效期：2022-02-03
券后约 ￥1.48,￥1.56,双灵油,安阳中智药业有限责任公司,规格：3ml,效期：2022-02-28
券后约 ￥1.76,￥1.85,红药片,辽宁可济药业有限公司,规格：0.25g*24片(糖衣),效期：2023-05-31
券后约 ￥1.71,￥1.80,复方氨酚烷胺胶囊,四川依科制药有限公司,规格：12粒(300盒/件),效期：2022-08-31
券后约 ￥1.86,￥1.96,藿香正气水,四川禾泰药业有限公司（四川禾邦旭东制药有限公司）,规格：10ml*10支,效期：2022-05-31
券后约 ￥3.32,￥3.49,水一牌草本抑菌膏(氧化锌炉甘石抑菌乳膏),江西水滴药业有限公司,规格：20g/支,效期：2022-05-02
券后约 ￥2.06,￥2.17,复方南板蓝根片,广西北部湾制药股份有限公司,规格：100片(糖衣)                                                 ,效期：2022-01-31
券后约 ￥1.97,￥2.07,元胡止痛片,山东端信堂大禹药业有限公司,规格：100片(糖衣),效期：2022-06-17
券后约 ￥1.97,￥2.07,格列吡嗪片,海口奇力制药股份有限公司,规格：5mg*24片,效期：2022-04-30
券后约 ￥1.87,￥1.97,吲达帕胺片,天津太平洋制药有限公司,规格：2.5mg*10片*3板                                              ,效期：
券后约 ￥2.17,￥2.28,桑菊感冒片,昭通市骅成制药有限公司,规格：24片,效期：2022-11-30
券后约 ￥34.91,￥36.75,玻璃酸钠滴眼液,参天制药(中国)有限公司,规格：5ml:15mg(0.3%)(国产),效期：2023-02-28
券后约 ￥2.36,￥2.48,尼群地平片,烟台鲁银药业有限公司,规格：10mg*100片                                                  ,效期：2022-05-22
券后约 ￥2.36,￥2.48,尼群地平片,陕西西岳制药有限公司,规格：10mg*100片                                                  ,效期：2022-08-31
券后约 ￥3.52,￥3.71,抗病毒口服液,山西太行药业股份有限公司/山西太行药业股份有限公司,规格：10ml*6支,效期：2022-03-31
券后约 ￥2.36,￥2.48,三黄片,湖北仁悦药业股份有限公司,规格：0.26g*100片(薄膜衣),效期：2023-08-31
券后约 ￥2.26,￥2.38,碳酸氢钠注射液,国药集团容生制药有限公司,规格：10ml:0.5g*5支,效期：2022-04-30
券后约 ￥2.26,￥2.38,感冒清胶囊,江西青春康源制药有限公司,规格：0.5g*10粒*2板                                               ,效期：2022-01-08
券后约 ￥2.12,￥2.23,氯芬黄敏片,河南省百泉制药有限公司,规格：24片(糖衣),效期：2023-02-28
券后约 ￥2.45,￥2.58,阿昔洛韦片,深圳海王药业有限公司,规格：0.1g*30片,效期：2023-07-13
券后约 ￥2.50,￥2.63,利巴韦林注射液,西南药业股份有限公司委托太极集团四川太极制药有限公司生产,规格：1ml:0.1g*10支,效期：2022-02-28
券后约 ￥2.33,￥2.45,哈西奈德乳膏,天津金耀药业有限公司,规格：10g:10mg,效期：2022-12-31
券后约 ￥2.43,￥2.56,土霉素片,安徽金太阳生化药业有限公司,规格：0.125g*100片,效期：2023-09-02
券后约 ￥2.48,￥2.61,盐酸氟桂利嗪胶囊,福元药业有限公司,规格：5mg*60粒,效期：2023-07-31
券后约 ￥2.48,￥2.61,十全大补丸,湖北瑞华制药有限责任公司,规格：200丸(水蜜丸),效期：2023-05-31
券后约 ￥2.65,￥2.79,脑心舒口服液,湖北福广制药有限公司,规格：10ml*10支(塑瓶),效期：2022-08-31
券后约 ￥2.56,￥2.69,三黄片,广西泰诺制药有限公司,规格：100片(糖衣),效期：2022-02-28
券后约 ￥2.56,￥2.69,维U颠茄铝镁片Ⅱ,山西太原药业有限公司,规格：48片,效期：2022-06-11
券后约 ￥2.46,￥2.59,桂利嗪片,辰欣药业股份有限公司,规格：25mg*100片,效期：2022-05-26
券后约 ￥2.46,￥2.59,吲达帕胺片,遂成药业股份有限公司,规格：2.5mg*12片*3板(薄膜衣),效期：
券后约 ￥2.46,￥2.59,硫酸庆大霉素注射液,国药集团容生制药有限公司,规格：8万:2ml*10支,效期：2022-11-30
券后约 ￥2.32,￥2.44,维生素E软胶囊,桂林南药股份有限公司,规格：0.1g*30粒,效期：2022-01-03
券后约 ￥2.37,￥2.49,人工牛黄甲硝唑胶囊,新乡市常乐制药有限责任公司,规格：12粒*2板                                                    ,效期：2023-07-31
券后约 ￥2.81,￥2.96,重感灵片,广州花城药业有限公司(原广州市花城制药厂),规格：48片(糖衣),效期：2021-12-31
券后约 ￥2.90,￥3.05,牛黄解毒丸,天圣制药集团山西有限公司,规格：3g*10丸(大蜜丸)                                             ,效期：2023-02-28
券后约 ￥2.85,￥3.00,复方黄连素片,安康正大制药有限公司,规格：30mg*12片*2板(糖衣)                                         ,效期：2022-04-30
券后约 ￥2.75,￥2.90,兰索拉唑肠溶片,上海桓华制药有限公司(原悦康药业集团上海制药有限公司),规格：15mg*14片,效期：2022-07-31
券后约 ￥2.61,￥2.75,生脉饮(党参方),湖北福广制药有限公司,规格：10ml*10支(塑瓶),效期：2022-07-31
券后约 ￥2.94,￥3.09,莲芝消炎片,重庆科瑞南海制药有限责任公司,规格：0.28g*24片,效期：2022-02-28
券后约 ￥2.99,￥3.15,胃康灵胶囊,云南盘龙云海药业有限公司,规格：0.4g*10粒*2板,效期：2022-04-30
券后约 ￥3.13,￥3.29,蛇胆川贝液,湖北纽兰药业有限公司,规格：10ml*8支,效期：
券后约 ￥3.19,￥3.36,盐酸二氧丙嗪片,辽源市迪康药业有限责任公司,规格：5mg*100片(糖衣),效期：2022-09-30
券后约 ￥3.14,￥3.31,木香顺气丸,河北凯诺制药有限公司,规格：6g*10袋(水丸),效期：2022-06-30
券后约 ￥3.05,￥3.21,咳特灵片,广西药用植物园制药厂,规格：100片(薄膜衣),效期：2022-12-07
券后约 ￥2.95,￥3.11,蛇胆川贝液,江西盛翔制药有限公司,规格：10ml*6支,效期：2021-08-31
券后约 ￥3.09,￥3.25,利巴韦林颗粒,山东仁和制药有限公司,规格：50mg*18袋,效期：2022-03-27
券后约 ￥3.27,￥3.44,雪梨膏,湖北诺得胜制药有限公司,规格：120g,效期：2022-02-28
券后约 ￥3.44,￥3.62,枸橼酸喷托维林片,上海寿如松药业泌阳制药有限公司,规格：25mg*100片                                                  ,效期：2021-09-05
券后约 ￥3.06,￥3.22,银黄颗粒,佑华制药(乐山)有限公司委托四川金药师制药有限公司生产,规格：4g*10袋,效期：2022-03-31
券后约 ￥3.35,￥3.53,利巴韦林注射液,浙江诚意药业股份有限公司,规格：5ml：0.5g*5支,效期：2022-04-30
券后约 ￥3.47,￥3.65,利巴韦林片,重庆科瑞制药(集团)有限公司,规格：100mg*10片*2板,效期：2021-11-30
券后约 ￥3.37,￥3.55,硫酸庆大霉素注射液,西南药业股份有限公司委托太极集团四川太极制药有限公司生产,规格：2ml:8万*10支,效期：2022-11-30
券后约 ￥3.15,￥3.32,吲达帕胺片,山东绿因药业有限公司,规格：2.5mg*30片(糖衣),效期：2022-04-30
券后约 ￥3.45,￥3.63,对乙酰氨基酚片,重庆迪康长江制药有限公司,规格：0.5g*100s,效期：2023-03-06
券后约 ￥3.44,￥3.62,马来酸氯苯那敏注射液,安徽长江药业有限公司(原芜湖康奇制药有限公司）,规格：1ml:10mg*10支,效期：2022-02-28
券后约 ￥3.25,￥3.42,克拉霉素胶囊,江苏亚邦爱普森药业有限公司,规格：0.25g*6粒,效期：2022-08-31
